ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Country_numeric,Continent_numeric,Child friendly_numeric,Snowparks_numeric,Nightskiing_numeric,Summer skiing_numeric,Season_numeric,key,Rank,Other_name,Rating,rank
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,Yes,Yes,No,0,0,1,1,1,0,7,hemsedal,69.0,Hemsedal,1076.9,69.0
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,Yes,Yes,No,0,0,1,1,1,0,6,geilosiden geilo,259.0,Geilo,1001.8,259.0
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No,1,0,1,0,0,0,5,golm,250.0,Golm,1003.6,250.0
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,Yes,Yes,No,2,1,1,1,1,0,5,red rossland,275.0,Red Mountain Resort,998.0,275.0
5,Hafjell,61.2303686,10.52901357,Norway,Europe,45,November - April,1030,195,33,7,4,44,6,150,14,3,1,18,21060,Yes,Yes,Yes,No,0,0,1,1,1,0,6,hafjell,219.0,Hafjell,1012.3,219.0
6,Voss,60.6837065,6.407904807,Norway,Europe,43,November - May,960,284,25,4,11,40,0,40,7,4,0,11,11900,Yes,Yes,No,No,0,0,1,1,0,0,7,voss,288.0,Voss Resort,995.7,288.0
7,Porter,-39.67098835,176.8766681,New Zealand,Oceania,61,June - September,1980,1300,5,0,5,10,0,0,5,1,0,6,5600,No,No,No,Yes,3,2,0,0,0,1,4,porter,,,,
8,Nevados de Chilla?n,-36.613844,-72.0718055,Chile,South America,57,June - October,2700,1600,10,15,10,35,13,0,4,6,1,11,11080,Yes,Yes,No,Yes,4,3,1,1,0,1,5,nevados de chilla n,,,,
9,Hochschwarzeck,47.6283728,12.9205276,Germany,Europe,22,December - April,1385,1030,4,0,0,4,0,0,3,1,0,4,2880,Yes,No,No,No,5,0,1,0,0,0,5,hochschwarzeck,1200.0,Hochschwarzeck,899.1,1200.0
10,Rossfeld - Berchtesgaden - Oberau,47.6513062,13.0589774,Germany,Europe,20,December - April,1554,1300,7,1,0,8,6,0,4,0,0,4,3229,Yes,Yes,Yes,No,5,0,1,1,1,0,5,rossfeld berchtesgaden oberau,1291.0,Rossfeld,893.4,1291.0
11,Fernie,49.5041747,-115.062867,Canada,North America,67,December - April,2134,1052,42,58,42,142,5,11,3,7,0,10,14514,Yes,Yes,No,No,2,1,1,1,0,0,5,fernie,120.0,Fernie,1040.9,120.0
12,Sun Peaks,50.8844684,-119.8823295,Canada,North America,62,November - April,2082,1198,13,78,43,134,8,0,6,6,0,12,13895,Yes,Yes,Yes,No,2,1,1,1,1,0,6,sun peaks,253.0,Sun Peaks,1003.2,253.0
13,Panorama,50.7369988,-119.1205606,Canada,North America,62,December - April,2365,1140,20,55,25,100,5,0,3,6,4,13,11890,Yes,Yes,Yes,No,2,1,1,1,1,0,5,panorama,261.0,Panorama,1001.7,261.0
14,Brauneck Lenggries ?Wegscheid,47.674786,11.554735,Germany,Europe,35,December - April,1712,700,8,22,4,34,3,0,16,4,1,21,19100,Yes,No,Yes,No,5,0,1,0,1,0,5,brauneck lenggries wegscheid,225.0,Brauneck,1010.5,225.0
15,Zermatt - Matterhorn,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,16,1060,21,22,20,63,93464,Yes,Yes,No,Yes,6,0,1,1,0,1,0,zermatt matterhorn,2.0,Matterhorn (Zermatt/Cervinia),1296.8,2.0
16,Treble Cone,-44.6323751,168.8728247,New Zealand,Oceania,68,June - October,1960,1260,4,9,9,22,0,32,2,2,0,4,4520,No,Yes,No,Yes,3,2,0,1,0,1,5,treble cone,,,,
17,Val Gardena,46.5766427,11.6444217,Italy,Europe,54,December - April,2518,1236,52,105,18,175,10,630,29,41,14,84,121914,Yes,Yes,No,No,7,0,1,1,0,0,5,val gardena,33.0,Val Gardena,1111.0,33.0
18,Gressoney - La-Trinite (Monterosa Ski),45.8597574,7.752615678,Italy,Europe,43,December - April,3275,1212,23,94,15,132,8,655,9,9,12,30,31984,Yes,Yes,No,No,7,0,1,1,0,0,5,gressoney la trinite monterosa,31.0,Monterosa Ski,1114.7,31.0
19,Les Gets (Les Portes du Soleil),46.1550977,6.6633312,France,Europe,51,December - April,2466,1000,310,210,60,580,0,1074,89,74,11,174,252280,Yes,Yes,Yes,No,8,0,1,1,1,0,5,les gets les portes du soleil,10.0,Les Portes du Soleil,1148.4,10.0
20,Espace San Bernardo  La Rosière/?La Thuile,45.62647605,6.852962415,France,Europe,43,December - April,2641,1176,55,83,22,160,11,0,21,18,1,40,53669,Yes,Yes,No,No,8,0,1,1,0,0,5,espace san bernardo la rosiere la thuile,50.0,Espace San Bernardo,1094.4,50.0
21,The Lecht,57.200996,-3.247204,United Kingdom,Europe,33,December - April,775,637,5,9,4,18,0,0,12,1,0,13,9750,No,Yes,Yes,No,9,0,0,1,1,0,5,the lecht,,,,
22,Steamboat,35.7540215,-109.8537507,USA,North America,120,November - April,3221,2103,25,95,45,165,4,0,1,14,2,17,32720,Yes,Yes,Yes,No,10,1,1,1,1,0,6,steamboat,44.0,Steamboat,1096.0,44.0
23,Howelsen Hill-Steamboat Springs,40.4805325,-106.8406049,USA,North America,21,November - April,2175,2040,1,1,0,2,0,0,3,1,0,4,2220,No,No,No,No,10,1,0,0,0,0,6,howelsen hill steamboat springs,1479.0,Howelsen Hill,883.1,1479.0
24,Les Contamines-?Hauteluce,45.7970821,6.689198693,France,Europe,39,December - April,2437,1164,40,60,20,120,0,0,12,8,4,24,33972,Yes,No,Yes,No,8,0,1,0,1,0,5,les contamines hauteluce,168.0,Les Contamines,1025.5,168.0
25,Crested Butte,38.8698201,-106.984043,USA,North America,98,November - April,3707,2774,27,69,25,121,0,0,5,10,0,15,19717,Yes,Yes,No,No,10,1,1,1,0,0,6,crested butte,192.0,Crested Butte,1019.2,192.0
26,Jackson Hole,34.641109,-98.67619161,USA,North America,119,December - April,3185,1924,16,50,50,116,11,0,1,9,3,13,20480,Yes,Yes,No,No,10,1,1,1,0,0,5,jackson hole,21.0,Jackson Hole,1127.2,21.0
27,Park City,40.6460921,-111.4979963,USA,North America,97,November - April,3049,2080,27,152,71,250,4,480,5,32,4,41,76110,Yes,Yes,Yes,No,10,1,1,1,1,0,6,city,18.0,Park City,1133.9,18.0
28,Nevis Range,56.8522081,-4.9987681,United Kingdom,Europe,36,December - April,655,91,7,10,3,20,0,0,8,3,1,12,10350,Yes,No,No,No,9,0,1,0,0,0,5,nevis range,,,,
29,Arapahoe Basin,40.1211211,-80.6698426,USA,North America,83,October - June,3790,3286,40,25,40,105,4,0,2,5,0,7,7200,Yes,Yes,No,No,10,1,1,1,0,0,9,arapahoe basin,195.0,Arapahoe Basin,1017.8,195.0
30,The Remarkables,-45.0549597,168.8158586,New Zealand,Oceania,74,June - October,1943,1586,3,4,3,10,1,0,3,4,0,7,8400,Yes,Yes,No,Yes,3,2,1,1,0,1,5,the remarkables,,,,
31,Valchiavenna  Madesimo/?Campodolcino,46.4254637,9.389833451,Italy,Europe,39,November - April,1550,1082,13,28,5,46,0,0,1,9,3,13,26060,Yes,Yes,Yes,No,7,0,1,1,1,0,6,valchiavenna madesimo campodolcino,220.0,Valchiavenna,1011.9,220.0
32,La Thuile / La Rosière - Espace San Bernardo,45.7162875,6.9486119,Italy,Europe,43,December - April,2641,1176,55,83,22,160,0,0,21,18,1,40,53669,Yes,Yes,No,No,7,0,1,1,0,0,5,la thuile la rosiere espace san bernardo,2470.0,Passo San Leonardo,843.5,2470.0
33,Livigno  Carosello/?Mottolino,46.5200926,10.1289555,Italy,Europe,46,November - May,2798,1816,30,65,20,115,6,0,25,13,6,44,50850,Yes,Yes,Yes,No,7,0,1,1,1,0,7,livigno carosello mottolino,83.0,Livigno,1063.7,83.0
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,46.2269942,10.8270157,Italy,Europe,50,November - April,2504,770,60,68,22,150,5,0,14,34,17,65,102340,Yes,Yes,Yes,No,7,0,1,1,1,0,6,madonna di campiglio pinzolo folga rida marilleva,40.0,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva,1104.4,40.0
35,Wagrain (Ski amedé),47.3336293,13.3031532,Austria,Europe,52,November - April,1980,740,30,81,4,115,6,600,22,16,11,49,75398,Yes,Yes,No,No,1,0,1,1,0,0,6,wagrain amede,3191.0,Bad Håring,815.6,3191.0
36,Kaunertal Glacier (Kaunertaler Gletscher),46.8774734,10.7136205,Austria,Europe,43,September - June,3108,2180,14,4,2,20,5,0,6,2,1,9,13200,Yes,No,No,No,1,0,1,0,0,0,10,kaunertal glacier kaunertaler gletscher,210.0,Kaunertal Glacier,1014.7,210.0
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),47.392906,12.636085,Austria,Europe,53,November - April,2096,830,140,112,18,270,7,927,21,22,28,71,135104,Yes,Yes,Yes,No,1,0,1,1,1,0,6,saalbach hinterglemm leogang fieberbrunn skicircus,12.0,Saalbach Hinterglemm,1143.8,12.0
38,Sestriere ski resort (Via Lattea),44.954538,6.880658,Italy,Europe,48,November - April,2749,1372,96,220,84,400,7,0,29,35,7,71,96433,Yes,No,Yes,No,7,0,1,0,1,0,6,sestriere via lattea,36.0,Via Lattea,1108.5,36.0
39,Reither Kogel-Reith im Alpbachtal,47.4005419,11.8601176,Austria,Europe,46,December - March,1280,670,1,3,0,4,0,0,4,0,1,5,4070,Yes,No,Yes,No,1,0,1,0,1,0,4,reither kogel reith im alpbachtal,597.0,Reither Kogel,945.4,597.0
40,Kicking Horse - Golden,51.2937094,-116.9624651,Canada,North America,67,December - April,2450,1190,20,20,60,100,10,10,1,3,1,5,5250,Yes,No,No,No,2,1,1,0,0,0,5,kicking horse golden,173.0,Kicking Horse,1023.5,173.0
41,Grandvalira  Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,42.54115005,1.733382094,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,6,1032,37,28,7,72,99017,Yes,Yes,Yes,No,11,0,1,1,1,0,6,grandvalira pas de la casa grau roig soldeu el tarter canillo encamp,35.0,Grandvalira,1110.1,35.0
42,Rinerhorn (Davos Klosters),46.74122595,9.798008893,Switzerland,Europe,48,December - March,2490,1454,10,22,8,40,7,14,6,0,1,7,6900,Yes,Yes,No,No,6,0,1,1,0,0,4,rinerhorn davos klosters,293.0,Rinerhorn,995.1,293.0
43,Madrisa (Davos Klosters),46.9097225,9.877450678,Switzerland,Europe,52,December - March,2611,1142,6,9,9,24,8,9,7,2,1,10,6640,Yes,Yes,No,No,6,0,1,1,0,0,4,madrisa davos klosters,228.0,Madrisa,1010.2,228.0
44,Jakobshorn (Davos Klosters),46.772399,9.8493406,Switzerland,Europe,58,December - April,2590,1540,25,13,2,40,6,140,5,5,3,13,15800,Yes,Yes,No,No,6,0,1,1,0,0,5,jakobshorn davos klosters,172.0,Jakobshorn,1023.9,172.0
45,Glacier 3000 / Les Diablerets,46.3511021,7.1566435,Switzerland,Europe,54,October - May,3016,1343,9,3,12,24,8,0,4,3,3,10,10260,Yes,Yes,No,No,6,0,1,1,0,0,8,glacier 3000 les diablerets,99.0,Glacier 3000,1053.0,99.0
46,Big White,49.715991,-118.933872,Canada,North America,61,November - April,2285,1508,18,56,29,103,7,0,3,10,1,14,22625,Yes,Yes,Yes,No,2,1,1,1,1,0,6,big white,256.0,Big White,1002.4,256.0
47,Obergurgl-Hochgurgl,46.879426,11.0387065,Austria,Europe,50,November - May,3082,1793,35,55,20,110,8,320,13,7,8,28,38861,Yes,Yes,Yes,No,1,0,1,1,1,0,7,obergurgl hochgurgl,,,,
48,Coronet Peak,-44.9158907,168.7395712,New Zealand,Oceania,74,June - October,1649,1229,8,16,16,40,0,202,5,3,0,8,7200,Yes,Yes,Yes,Yes,3,2,1,1,1,1,5,coronet peak,,,,
49,Les Deux alpes,45.0099949,6.1237609,France,Europe,49,"December - April, June - August, October - November",3560,1280,110,56,34,200,16,224,26,21,7,54,72334,Yes,Yes,Yes,Yes,8,0,1,1,1,1,10,les deux alpes,19.0,Les 2 Alpes,1131.5,19.0
50,Valle Nevado,-33.352964,-70.2486776,Chile,South America,64,June - October,3670,2860,4,14,21,39,4,0,9,5,1,15,15930,Yes,Yes,No,Yes,4,3,1,1,0,1,5,valle nevado,,,,
51,Ben Lomond,-30.0237148,151.6591787,Australia,Oceania,47,July - September,1572,1460,2,3,1,6,0,0,0,7,0,7,0,Yes,No,No,Yes,12,2,1,0,0,1,3,ben lomond,,,,
52,Portillo,-32.8364183,-70.1290835,Chile,South America,57,June - October,3310,2580,10,4,6,20,3,0,9,5,0,14,9900,Yes,No,No,Yes,4,3,1,0,0,1,5,portillo,,,,
53,Catedral Alta Patagonia,-41.16556,-71.444171,Argentina,South America,51,June - October,2180,1030,30,60,30,120,9,0,19,17,2,38,35130,Yes,Yes,No,Yes,13,3,1,1,0,1,5,catedral alta patagonia,119.0,Alta,1042.6,119.0
54,Whistler,50.1171903,-122.9543022,Canada,North America,93,"November - May, June - August",2284,653,40,110,50,200,11,300,14,18,5,37,59203,Yes,Yes,No,Yes,2,1,1,1,0,1,10,whistler,17.0,Whistler Blackcomb,1136.8,17.0
55,Stubai Glacier,46.995462,11.14049,Austria,Europe,46,September - June,3212,1697,19,15,4,38,10,69,14,7,5,26,39784,Yes,Yes,No,No,1,0,1,1,0,0,10,stubai glacier,65.0,Stubai Glacier,1078.8,65.0
56,Fonna Glacier,60.2168823,6.435787158,Norway,Europe,42,May - September,1460,1200,2,2,0,4,0,0,1,0,0,1,1200,Yes,Yes,No,Yes,0,0,1,1,0,1,5,fonna glacier,580.0,Fonna Glacier Ski Resort,947.6,580.0
57,Tignes - ?Val d'Ise?re,45.4580331,6.918835739,France,Europe,56,"November - May, June - August",3456,1550,170,78,52,300,6,848,33,42,11,86,145461,Yes,Yes,No,Yes,8,0,1,1,0,1,10,tignes val d ise re,7.0,Tignes – Val d'Isère,1177.9,7.0
58,La Plagne (Paradiski),45.50429855,6.704912253,France,Europe,50,December - April,3167,1207,139,59,27,225,6,417,56,32,12,100,136733,Yes,Yes,No,No,8,0,1,1,0,0,5,la plagne paradiski,6.0,La Plagne,1180.3,6.0
